,bad-tickers
1096,GBQ-HM
1097,RTC-HM
1098,SOH1-XETRA
1099,ARO-DU
1100,JMT2-DU
1101,Q11-DU
1102,RCF-DU
1103,H6D0-HA
1104,AC8-MU
1105,SEW-MU
1106,U1P-MU
1107,36L-STU
1108,3LQ-STU
1109,CHN-STU
1110,CTI-STU
1111,CUV-STU
1112,DKOB-STU
1113,MY4-STU
1114,RIOA-STU
1115,TYU2-STU
1116,00B-F
1117,0ZM-F
1118,1CA0-F
1119,2Y1-F
1120,38E-F
1121,4A6-F
1122,52J-F
1123,57U0-F
1124,59V-F
1125,5IE-F
1126,5O7-F
1127,5UU1-F
1128,6QP-F
1129,6VZ-F
1130,74O-F
1131,7YB-F
1132,7ZV-F
1133,8CD1-F
1134,AT9-F
1135,BBW0-F
1136,CF9-F
1137,CW0-F
1138,D60-F
1139,E7V0-F
1140,GO4-F
1141,H6H-F
1142,I970-F
1143,JBG-F
1144,M4I0-F
1145,M5Q-F
1146,OMY-F
1147,PP7-F
1148,S86-F
1149,TN7-F
1150,WRG-F
1151,X0S-F
1152,Y2Z-F
1153,GREEN-SW
1154,BAIBDA-CO
1155,BAIEUAAUAA-CO
1156,MAJGO-CO
1157,NDIDKKL1-CO
1158,SYIGEAADKK-CO
1159,MBSC-EGX
1160,ORWE-EGX
1161,UACN-XNSA
1162,ICON-MSE
1163,KCB-XNAI
1164,099390-KO
1165,187660-KO
1166,228670-KO
1167,313760-KO
1168,351330-KO
1169,370090-KO
1170,012800-KQ
1171,362320-KQ
1172,COMMB-BUD
1173,HMP-WAR
1174,LPC-PSE
1175,CWSM-KAR
1176,GRR-KAR
1177,SFL-KAR
1178,UNIC-KAR
1179,CRSN-JK
1180,MPIX-JK
1181,301488-SHE
1182,JUNIPER-NSE
1183,688152-SHG
1184,688352-SHG
1185,HUNTN0000-CM
1186,KOTAN0000-CM
1187,RGEMN0000-CM
1188,HUB-VN
1189,KSQ-VN
1190,NDN-VN
1191,PTS-VN
1192,VC1-VN
1193,CRC-RO
1194,ELV-RO
1195,4771-TWO
1196,SURGY-IS
1197,AGGH-US
1198,ANTI-US
1199,ARHAS-US
1200,BSSC-US
1201,ITDI-US
1202,ITRE-US
1203,PSFE-WT-US
1204,UPLL-LSE
1205,AMYA-P-V
1206,0YC-BE
1207,C5E-BE
1208,DMB-BE
1209,H2Y-BE
1210,J2E-BE
1211,JI5-BE
1212,N8C-BE
1213,NYG1-BE
1214,OIZ-BE
1215,PTJ-BE
1216,QJQ-BE
1217,SGG-BE
1218,SMWN-BE
1219,VQI-BE
1220,BTQ-HM
1221,UHR-HM
1222,AJXA-DU
1223,LO3-DU
1224,NEQ-DU
1225,T2V1-DU
1226,599A-MU
1227,6AH-MU
1228,ITB-MU
1229,M0YN-MU
1230,N7E-MU
1231,RIO1-MU
1232,TM9-MU
1233,VPK5-MU
1234,WWR-MU
1235,AN9-STU
1236,BPS-STU
1237,EAD-STU
1238,FBLM-STU
1239,GZT-STU
1240,IMW-STU
1241,JHU1-STU
1242,NCO-STU
1243,P2F-STU
1244,P3K-STU
1245,PF8-STU
1246,R1Y-STU
1247,0ZA-F
1248,1EP-F
1249,1IH-F
1250,1K0-F
1251,2A8-F
1252,2DE-F
1253,2XK-F
1254,3LR-F
1255,3S8-F
1256,4A8-F
1257,4S4-F
1258,4Z9-F
1259,6M0A-F
1260,6N2-F
1261,74X-F
1262,7IR-F
1263,7YR-F
1264,837-F
1265,87W-F
1266,8G7-F
1267,8Z4-F
1268,9GK-F
1269,9QQ-F
1270,9UD-F
1271,9ZK-F
1272,BJR-F
1273,BLDA-F
1274,BW6-F
1275,CX40-F
1276,CZTA-F
1277,FQZ-F
1278,G2U0-F
1279,H56-F
1280,HL9D-F
1281,IT3-F
1282,JEM0-F
1283,K7X-F
1284,LCQ-F
1285,NVDG-F
1286,OCI-F
1287,RI4A-F
1288,RW8-F
1289,V7A0-F
1290,Z0Y-F
1291,CLEN-VI
1292,VU-PA
1293,MAJGRO-CO
1294,NYIDA-CO
1295,JHL-DSE
1296,ADPC-EGX
1297,PHAR-EGX
1298,GOLDBREW-XNSA
1299,CENTUM-XNAI
1300,EACABLES-XNAI
1301,CDM-BC
1302,UTIN-SEM
1303,168360-KO
1304,214610-KO
1305,227610-KO
1306,290120-KO
1307,093240-KQ
1308,WPR-WAR
1309,BFMOD-KAR
1310,SMIL-JK
1311,DIF-BK
1312,SJWD-R-BK
1313,TPL-BK
1314,GCMEZZ-AT
1315,CELSIA-CM
1316,KFPN0000-CM
1317,TAFLN0000-CM
1318,WATAN0000-CM
1319,LHC-VN
1320,PSD-VN
1321,SLS-VN
1322,THT-VN
1323,0255-KLSE
1324,ALT-RO
1325,MCAB-RO
1326,INTERBC1-LIM
1327,CYPMF-US
1328,GBUX-US
1329,GUG-US
1330,LTCN-US
1331,SRLY-US
1332,STHRF-US
1333,TGMR-US
1334,JEMA-LSE
1335,PWF-PH-TO
1336,3MW-BE
1337,4T2-BE
1338,B4Z-BE
1339,EV1-BE
1340,FAU-BE
1341,MA6-BE
1342,PX5-BE
1343,R1Y-BE
1344,T9V-BE
1345,WR0-BE
1346,CORE-DU
1347,EM7A-MU
1348,LSX-MU
1349,RPHA-MU
1350,3IM-STU
1351,9R9-STU
1352,A89-STU
1353,GYX-STU
1354,INFA-STU
1355,JOX-STU
1356,LNLB-STU
1357,M3N-STU
1358,MMT-STU
1359,SKVB-STU
1360,TK2A-STU
1361,XGH-STU
1362,2ZT-F
1363,3WK0-F
1364,3Z3-F
1365,4ZU0-F
1366,55I0-F
1367,70X-F
1368,7IH-F
1369,86L-F
1370,8CY-F
1371,8JZ-F
1372,8WS-F
1373,9B2-F
1374,9PS-F
1375,9XA-F
1376,AP4N-F
1377,BNPH-F
1378,BNQQ-F
1379,D3H0-F
1380,GVM0-F
1381,H0I-F
1382,HC1A-F
1383,HMIA-F
1384,KDID-F
1385,KDM-F
1386,KUOA-F
1387,M0G-F
1388,NDA1-F
1389,NXS0-F
1390,O4D-F
1391,PF6-F
1392,Q49-F
1393,S4O0-F
1394,SRPB-F
1395,TF8-F
1396,V72-F
1397,VUL-F
1398,VVUD-F
1399,WY60-F
1400,X92-F
1401,DKIGSFUT-CO
1402,NDIGSCKL1-CO
1403,NIC-USE
1404,RAKT-EGX
1405,EGL-GSE
1406,037030-KO
1407,223250-KO
1408,282720-KO
1409,294090-KO
1410,302430-KO
1411,347000-KO
1412,417010-KO
1413,424140-KO
1414,011230-KQ
1415,044380-KQ
1416,052690-KQ
1417,084680-KQ
1418,092230-KQ
1419,393890-KQ
1420,452400-KQ
1421,GGGL-KAR
1422,CD1-AU
1423,SCL-BK
1424,301202-SHE
1425,MEDIASSIST-NSE
1426,688539-SHG
1427,688603-SHG
1428,ASIYN0000-CM
1429,LALUN0000-CM
1430,SMOTN0000-CM
1431,API-VN
1432,PDB-VN
1433,SZC-VN
1434,VIF-VN
1435,0R9I-IL
1436,ATAKP-IS
1437,OFSYM-IS
1438,CHTM-US
1439,GJH-US
1440,JVSAR-US
1441,OMDD-US
1442,SHGR-US
1443,ESP-TO
1444,FFN-PA-TO
1445,2GB-BE
1446,AAM-BE
1447,BME-BE
1448,CBE-BE
1449,FTRK-BE
1450,GUL-BE
1451,MBQ-BE
1452,OXK-BE
1453,PBY-BE
1454,PHT-BE
1455,PV6-BE
1456,RGD1-BE
1457,SWJA-BE
1458,UCH-BE
1459,WCQ1-BE
1460,BY6-HM
1461,3D6-DU
1462,B8A-DU
1463,CEK-DU
1464,HG1-DU
1465,30M-MU
1466,H9Y-MU
1467,S5U5-MU
1468,SY1-MU
1469,WON1-MU
1470,45S-STU
1471,A5G-STU
1472,BH5-STU
1473,C20-STU
1474,CWB-STU
1475,CWF-STU
1476,FPC-STU
1477,SJJ-STU
1478,VMR1-STU
1479,08HH-F
1480,0CF-F
1481,0FE-F
1482,0SEA-F
1483,0T8B-F
1484,17V-F
1485,1RC-F
1486,5LD-F
1487,63U-F
1488,695-F
1489,6VD-F
1490,7PL-F
1491,7X2-F
1492,8N1-F
1493,8OT-F
1494,8U5-F
1495,927-F
1496,9G5-F
1497,A531-F
1498,ASI-F
1499,BEW-F
1500,BF1-F
1501,BKP0-F
1502,CWW0-F
1503,DFYA-F
1504,EG40-F
1505,EVTA-F
1506,FL8-F
1507,FM5-F
1508,GC30-F
1509,GPPB-F
1510,GR0A-F
1511,HFG-F
1512,HHFB-F
1513,IB3A-F
1514,K0I-F
1515,MHK-F
1516,N79-F
1517,OX3-F
1518,SFY-F
1519,SKX-F
1520,SRAG-F
1521,TR3-F
1522,XYTA-F
1523,MLAAH-PA
1524,MLWEL-PA
1525,BSKSMCDKAKL-CO
1526,GRIEJD-CO
1527,SDIVKS-CO
1528,PBC-GSE
1529,CTL-XNAI
1530,NMG-XNAI
1531,108490-KO
1532,198440-KO
1533,290660-KO
1534,319400-KO
1535,322510-KO
1536,347890-KO
1537,405920-KO
1538,000700-KQ
1539,005180-KQ
1540,005305-KQ
1541,011785-KQ
1542,011790-KQ
1543,382900-KQ
1544,406820-KQ
1545,445090-KQ
1546,KLN-WAR
1547,MVR-WAR
1548,FTMM-KAR
1549,PRWM-KAR
1550,PTL-KAR
1551,IMPQ-AU
1552,FWCT-JK
1553,SCAP-BK
1554,TFFIF-BK
1555,301315-SHE
1556,REDTAPE-NSE
1557,603255-SHG
1558,688348-SHG
1559,DPLN0000-CM
1560,HUNAN0000-CM
1561,PABCN0000-CM
1562,PPE-VN
1563,PVB-VN
1564,TDN-VN
1565,0RQ8-IL
1566,4546-TWO
1567,AUNM-US
1568,BKKT-WT-US
1569,CLOX-US
1570,IBIB-US
1571,LEHLQ-US
1572,LOBO-US
1573,PORCF-US
1574,PWLK-US
1575,SRQRF-US
1576,SYNX-US
1577,WMLMF-US
1578,WRLC-US
1579,0QYP-LSE
1580,FTU-PB-TO
1581,GPAC-V
1582,3BA-BE
1583,ATY-BE
1584,AZP-BE
1585,B3K-BE
1586,BRL1-BE
1587,CHK-BE
1588,DZJ-BE
1589,HSG-BE
1590,IG7-BE
1591,MMT-BE
1592,RBT-BE
1593,YIJ-BE
1594,OBS-HM
1595,ABCH-XETRA
1596,CTAA-DU
1597,SCT-DU
1598,AIR-HA
1599,BOU1-MU
1600,BUHA-MU
1601,G5HA-MU
1602,MPV-MU
1603,OBS-MU
1604,SGI-MU
1605,STS1-MU
1606,UUEC-MU
1607,VVU-MU
1608,28W-STU
1609,3MG-STU
1610,7S8-STU
1611,8SF-STU
1612,BB2-STU
1613,BGC-STU
1614,DMB-STU
1615,EZP1-STU
1616,G24-STU
1617,H2K2-STU
1618,I5P-STU
1619,IVKA-STU
1620,MX7A-STU
1621,0CKA-F
1622,0GO-F
1623,0K4-F
1624,0ON-F
1625,1BD-F
1626,22T-F
1627,28L-F
1628,2N6-F
1629,4H7-F
1630,5KA0-F
1631,5LU-F
1632,6NCA-F
1633,6Q1-F
1634,7E3-F
1635,7F8-F
1636,7HZ-F
1637,7QZ-F
1638,84SA-F
1639,87M-F
1640,8IL-F
1641,8NW-F
1642,8V8-F
1643,9960-F
1644,9NPA-F
1645,A5SA-F
1646,AMH-F
1647,AOMU-F
1648,B1O-F
1649,C7B-F
1650,E1P0-F
1651,E2H-F
1652,EY7-F
1653,FXL-F
1654,G0F-F
1655,GG7-F
1656,GUZA-F
1657,HUV-F
1658,ID9-F
1659,KAP0-F
1660,KT7-F
1661,L0T-F
1662,LE4A-F
1663,NS70-F
1664,RMFA-F
1665,U09-F
1666,V8M-F
1667,X2S1-F
1668,YBV0-F
1669,Z45-F
1670,ZIL-F
1671,BE0941243520-BR
1672,XGLD-SW
1673,BAIGOAUAA-CO
1674,BAIKLA-CO
1675,JYIHRV-CO
1676,SPIMRA-CO
1677,ACAD-IL-ST
1678,KCB-RSE
1679,GOLDINSURE-XNSA
1680,OMATEK-XNSA
1681,101360-KO
1682,389140-KO
1683,003780-KQ
1684,005725-KQ
1685,007210-KQ
1686,024890-KQ
1687,032560-KQ
1688,344860-KQ
1689,NWA-WAR
1690,PRO-WAR
1691,ACPAR-PSE
1692,ASHT-KAR
1693,CYAN-KAR
1694,GEMSPNL-KAR
1695,MOGL-AU
1696,TEE-AU
1697,MTW-BK
1698,NETWEB-NSE
1699,603082-SHG
1700,688400-SHG
1701,BRRN0000-CM
1702,PCH-VN
1703,VBC-VN
1704,VLA-VN
1705,0292-KLSE
1706,BRNA-RO
1707,WUSH-MCX
1708,CVERDEC1-LIM
1709,SCOTIAC1-LIM
1710,MNII-US
1711,OHTR-US
1712,QUCT-US
1713,SMVS-US
1714,TPTA-US
1715,CPIC-LSE
1716,DGI9-LSE
1717,KLSO-LSE
1718,PPL-PFA-TO
1719,ADC-P-V
1720,AXET-P-V
1721,6S3-BE
1722,A1B-BE
1723,AJ91-BE
1724,BON-BE
1725,DTD2-BE
1726,IH2A-BE
1727,MNZ-BE
1728,MRY-BE
1729,N9J-BE
1730,NXS-BE
1731,RI7-BE
1732,YAK-BE
1733,3EC-DU
1734,FO4N-DU
1735,M3T-DU
1736,UCM-DU
1737,UNVB-HA
1738,MXD-MU
1739,RJ8-MU
1740,TIB1-MU
1741,3BY3-STU
1742,45P-STU
1743,49S-STU
1744,4G8-STU
1745,BOF-STU
1746,BXZ-STU
1747,C4S1-STU
1748,DL8-STU
1749,FMK-STU
1750,FWQ-STU
1751,HI6-STU
1752,ILZ-STU
1753,M12-STU
1754,ORG-STU
1755,SMC-STU
1756,TJI-STU
1757,XGR2-STU
1758,05Y-F
1759,0YD-F
1760,20U-F
1761,24S-F
1762,2JS-F
1763,2SE-F
1764,48D-F
1765,4IIA-F
1766,53C-F
1767,5CR0-F
1768,5H9-F
1769,5JG-F
1770,5V8-F
1771,63V-F
1772,6DV-F
1773,6LC-F
1774,6QH-F
1775,74F-F
1776,7CY-F
1777,81N-F
1778,8BN-F
1779,8C11-F
1780,96W-F
1781,97E0-F
1782,9VK-F
1783,DW2-F
1784,E9Q-F
1785,EF30-F
1786,EML-F
1787,FOAA-F
1788,H0O-F
1789,H3Q-F
1790,HCE-F
1791,JUA-F
1792,LDBA-F
1793,M82-F
1794,MV6-F
1795,N4T-F
1796,N7D2-F
1797,NB11-F
1798,NGO-F
1799,O08-F
1800,PFEB-F
1801,PT0A-F
1802,S2K1-F
1803,S8E-F
1804,UFP-F
1805,URU-F
1806,ZCY-F
1807,MLAA-PA
1808,MLVAZ-PA
1809,OLGERD-IC
1810,DKIGI-CO
1811,NDIGSEKL1-CO
1812,LUMEN-ST
1813,NAHO-EGX
1814,SVCE-EGX
1815,ABBEYBDS-XNSA
1816,SUNUASSUR-XNSA
1817,ZENITHBANK-XNSA
1818,CPC-GSE
1819,PBL-SEM
1820,MTAV-TA
1821,175250-KO
1822,267980-KO
1823,330350-KO
1824,332370-KO
1825,391710-KO
1826,403870-KO
1827,457190-KO
1828,003475-KQ
1829,003520-KQ
1830,005387-KQ
1831,010770-KQ
1832,017940-KQ
1833,034590-KQ
1834,035510-KQ
1835,129260-KQ
1836,GDC-WAR
1837,PDG-WAR
1838,PRN-WAR
1839,BIFO-KAR
1840,PMRS-KAR
1841,SBL-KAR
1842,SHDT-KAR
1843,WAHN-KAR
1844,AGX1-AU
1845,TOK-AU
1846,FOLK-JK
1847,NINE-JK
1848,CH-BK
1849,DOHOME-R-BK
1850,688031-SHG
1851,688170-SHG
1852,HPFLN0000-CM
1853,JATN0000-CM
1854,LGL-VN
1855,PHN-VN
1856,CRE3W-BA
1857,2887Z1-TW
1858,4569-TW
1859,6919-TWO
1860,PASEU-IS
1861,BBOP-US
1862,HOJI-US
1863,JERTQ-US
1864,MNKA-US
1865,ROMA-US
1866,SAGAR-US
1867,SCCD-US
1868,ZWQT-TO
1869,LNGE-V
1870,3NR-BE
1871,42S-BE
1872,4AS-BE
1873,C4X-BE
1874,D2E-BE
1875,D6F-BE
1876,H6W-BE
1877,KX2-BE
1878,LS4C-BE
1879,LYF-BE
1880,OYD-BE
1881,SD0-BE
1882,TB8A-BE
1883,VB0-BE
1884,NAK-HM
1885,BSP-DU
1886,HGEA-DU
1887,BBI-MU
1888,BON-MU
1889,BRNK-MU
1890,CRP-MU
1891,CUEH-MU
1892,EM3A-MU
1893,FNI-MU
1894,IB5A-MU
1895,II8-MU
1896,RLF-MU
1897,6MM-STU
1898,7TA-STU
1899,DSR-STU
1900,EB9-STU
1901,EP3-STU
1902,LN1-STU
1903,MRR-STU
1904,MSBA-STU
1905,SNVA-STU
1906,ZA0-STU
1907,05B-F
1908,0SV-F
1909,1YO-F
1910,3KF-F
1911,3RW-F
1912,4AJ0-F
1913,4JO-F
1914,52U-F
1915,5HF-F
1916,5HW-F
1917,6HO-F
1918,6LS0-F
1919,6UT-F
1920,71T-F
1921,862-F
1922,8FG-F
1923,8HX-F
1924,9G6-F
1925,9YM-F
1926,B7X1-F
1927,BREA-F
1928,D9AA-F
1929,H6D-F
1930,J0C-F
1931,L5R-F
1932,NRV-F
1933,PZE-F
1934,SGHB-F
1935,T0A-F
1936,T6N-F
1937,TJV-F
1938,TOV0-F
1939,UIO-F
1940,ZTOB-F
1941,MANTA-HE
1942,IIVBONDESG-CO
1943,SRIGAU-CO
1944,DCB-DSE
1945,FIXED-PR
1946,RMDA-EGX
1947,CAP-XNSA
1948,SIAMLETF40-XNSA
1949,BAYP-SEM
1950,035900-KO
1951,336060-KO
1952,354200-KO
1953,365340-KO
1954,448760-KO
1955,000230-KQ
1956,002355-KQ
1957,004370-KQ
1958,004410-KQ
1959,MTN-WAR
1960,AGL-KAR
1961,GGL-KAR
1962,UCAPM-KAR
1963,CINPA-AU
1964,HYGG-AU
1965,EASF-NSE
1966,VSTL-NSE
1967,688525-SHG
1968,LHLN0000-CM
1969,MELN0000-CM
1970,NBW-VN
1971,PSE-VN
1972,CCOM-RO
1973,KTLEV-IS
1974,OBAMS-IS
1975,CYTT-US
1976,GEGGL-US
1977,GRND-WT-US
1978,HCKG-US
1979,HNNAZ-US
1980,HNRA-WT-US
1981,JMSI-US
1982,KIM-P-N-US
1983,MCHN-US
1984,RKLC-US
1985,ZBAL-TO
1986,UPS-NEO
1987,TLX-P-V
1988,1KK1-BE
1989,3SC-BE
1990,CHP-BE
1991,EBZ-BE
1992,EDJ-BE
1993,FAG-BE
1994,N5C-BE
1995,NUC-BE
1996,SPM-BE
1997,SUJ-BE
1998,TR9-BE
1999,AOMD-HM
2000,ST5-DU
2001,AMG-HA
2002,WFC-HA
2003,27F0-MU
2004,AO9-MU
2005,CHA-MU
2006,FEX-MU
2007,RJN-MU
2008,SPT6-MU
2009,2X1-STU
2010,5P1-STU
2011,A1B-STU
2012,BZU-STU
2013,E3E-STU
2014,1N5-F
2015,20L-F
2016,2NA-F
2017,2UE-F
2018,3RH-F
2019,48S1-F
2020,4SA-F
2021,4VN-F
2022,59U-F
2023,61N1-F
2024,69M-F
2025,69U-F
2026,6EO-F
2027,6R5-F
2028,7CD0-F
2029,7H7-F
2030,7K90-F
2031,88M-F
2032,8K0-F
2033,8ZM-F
2034,95D-F
2035,9IX-F
2036,9UZ-F
2037,A351-F
2038,A6I-F
2039,AMMN-F
2040,BD8-F
2041,D0G-F
2042,F1S-F
2043,F40-F
2044,GDT0-F
2045,GRW-F
2046,IU20-F
2047,J2BA-F
2048,JA4-F
2049,KCG-F
2050,KTN-F
2051,M7P-F
2052,N7I-F
2053,PRP0-F
2054,R6Z-F
2055,S0D-F
2056,T0T-F
2057,TC50-F
2058,V67A-F
2059,XPPE-F
2060,YGAV-MC
2061,MERIH-HE
2062,DKINVO-CO
2063,NDIHOJLKL1-CO
2064,NDINOSKL1-CO
2065,SYIULVADKK-CO
2066,WEKAFKI-CO
2067,EPEN-ST
2068,DSE-DSE
2069,UQA-PR
2070,MINERGY-XBOT
2071,ACAP-EGX
2072,ASCM-EGX
2073,SKPC-EGX
2074,UNIP-EGX
2075,GCB-GSE
2076,SAFARI-XNAI
2077,BALIMA-BC
2078,SAMIR-BC
2079,MIWA-SEM
2080,QBL-SEM
2081,044340-KO
2082,111710-KO
2083,196170-KO
2084,290670-KO
2085,294140-KO
2086,294630-KO
2087,317690-KO
2088,323280-KO
2089,362320-KO
2090,372170-KO
2091,000215-KQ
2092,000810-KQ
2093,001360-KQ
2094,003535-KQ
2095,004250-KQ
2096,010820-KQ
2097,016090-KQ
2098,016610-KQ
2099,079430-KQ
2100,RCM-WAR
2101,AGIC-KAR
2102,MFL-KAR
2103,PIM-KAR
2104,SNBLTFC4-KAR
2105,ONEE-R-BK
2106,301252-SHE
